MES;CLIENTE;NRO_VEC_COB;PDPs_ROTAS;ESTADO_PDP;NRO_CUOTAS;MES_0;MES_1;MES_2;FECHALLAMADA;HORA;DEUDA_TOTAL;ESTATUS;ACTIVACION;MORA;TIPOCONTACTO
201402;C00168;<=10;0;0;>48;502.72;0.0;;04/02/2014;12.0;12574.9;BT;2013.0;1.0;CNE
201402;C00169;;0;0;>48;350.2;288.88;351.34;07/02/2014;15.0;7176.16;BT;2012.0;1.0;COEF
201402;C00170;<=10;0;0;<24, 48];650.47;619.57;617.13;24/02/2014;16.0;8684.43;BT;2011.0;0.0;COEF
201402;C00171;<=10;0;0;<24, 48];189.77;0.31;190.31;14/02/2014;11.0;3753.99;BT;2012.0;1.0;CNE
201402;C00172;>10;0;0;<24, 48];854.36;1432.02;0.0;07/02/2014;8.0;10231.9;BT;2012.0;0.0;CNE
201402;C00175;<=10;>0;0;<24, 48];627.06;1321.46;0.0;14/02/2014;12.0;20149.0;BT;2012.0;0.0;COEF
201402;C00177;<=10;0;0;<=24;567.83;576.25;;14/02/2014;16.0;5409.32;BT;2012.0;1.0;CNE
201402;C00178;<=10;>0;0;<24, 48];3935.02;3938.06;5260.39;05/02/2014;14.0;35720.3;BT;2013.0;0.0;COEF
201402;C00179;;0;0;<24, 48];281.04;0.0;87.58;13/02/2014;8.0;3956.03;BT;2012.0;1.0;CNE
201402;C00180;>10;0;0;;612.29;1978.9;2263.14;10/02/2014;11.0;33222.4;BT;2011.0;1.0;CNE
201402;C00181;>10;0;0;<24, 48];670.62;1157.7;0.0;17/02/2014;7.0;28372.4;BT;2012.0;1.0;COEF
201402;C00182;<=10;0;0;<24, 48];866.99;0.0;0.0;20/02/2014;11.0;8899.63;BT;2012.0;0.0;CNE
201402;C00183;<=10;0;0;<24, 48];333.5;332.57;3.83;07/02/2014;18.0;6310.46;BT;2013.0;1.0;COEF
201402;C00184;<=10;0;0;<24, 48];1999.51;0.0;0.0;12/02/2014;13.0;67685.3;BT;2012.0;1.0;COEF
201402;C00186;;0;0;<=24;555.38;261.51;0.0;05/02/2014;17.0;555.67;BT;2013.0;0.0;CNE
201402;C00187;<=10;0;0;<=24;300.92;453.54;608.15;12/02/2014;15.0;1350.95;BT;2012.0;0.0;CNE
201402;C00188;>10;0;0;<24, 48];289.39;289.93;289.13;05/02/2014;15.0;5435.37;BT;2012.0;1.0;COEF
201402;C00189;<=10;0;0;>48;669.64;0.0;0.0;24/02/2014;8.0;71472.4;BT;2012.0;1.0;CNE
201402;C00190;<=10;0;0;>48;795.82;0.0;0.0;04/02/2014;14.0;69867.7;BT;2012.0;1.0;CNE
201402;C00192;<=10;0;0;<24, 48];151.96;0.0;0.0;03/02/2014;11.0;1951.22;BT;2012.0;1.0;COEF
201402;C00193;<=10;0;0;<24, 48];101.02;87.23;0.0;03/02/2014;15.0;3581.74;BT;2013.0;1.0;CNE
201402;C00194;;0;0;<24, 48];219.0;153.74;153.53;07/02/2014;15.0;3381.32;BT;2012.0;1.0;COEF
201402;C00195;;0;0;<=24;253.35;0.0;0.0;06/02/2014;13.0;5015.85;BT;2013.0;1.0;COEF
201402;C00196;>10;>0;0;<24, 48];158.2;239.91;0.0;25/02/2014;9.0;2652.41;BT;2012.0;1.0;COEF
201402;C00197;<=10;>0;1;<24, 48];2377.84;0.0;0.0;10/02/2014;13.0;21615.2;BT;2013.0;0.0;COEF
201402;C00199;>10;0;0;<24, 48];155.08;156.69;155.67;07/02/2014;11.0;1338.89;BT;2011.0;1.0;COEF
201402;C00203;<=10;0;0;<=24;266.45;266.46;266.55;19/02/2014;11.0;1268.52;BT;2011.0;1.0;CNE
201402;C00204;<=10;0;0;<24, 48];1197.02;1701.98;0.0;25/02/2014;19.0;14819.4;BT;2013.0;0.0;COEF
201402;C00205;<=10;>0;1;<24, 48];1271.19;0.0;0.0;24/02/2014;7.0;10575.4;BT;2013.0;0.0;COEF
201402;C00206;<=10;0;0;<24, 48];945.73;960.47;962.83;03/02/2014;7.0;19866.1;BT;2013.0;1.0;CNE
201402;C00207;<=10;>0;0;<24, 48];838.92;0.0;0.0;07/02/2014;11.0;8572.74;BT;2012.0;0.0;CNE
201402;C00209;;0;0;<24, 48];702.11;911.18;0.0;05/02/2014;7.0;28357.1;BT;2013.0;1.0;COEF
201402;C00210;>10;>0;1;<24, 48];2531.77;0.0;0.0;04/02/2014;10.0;17017.9;BT;2012.0;0.0;CNE
201402;C00212;<=10;0;0;<24, 48];301.29;0.0;0.0;20/02/2014;8.0;13216.3;BT;2013.0;1.0;CNE
201402;C00213;>10;0;0;<24, 48];575.88;568.07;1171.46;19/02/2014;13.0;4472.66;BT;2011.0;1.0;CNE
201402;C00214;<=10;0;0;<24, 48];571.22;561.78;562.02;07/02/2014;11.0;10527.3;BT;2013.0;1.0;CNE
201402;C00216;>10;0;0;>48;513.39;508.4;0.0;04/02/2014;14.0;7013.97;BT;2011.0;1.0;CNE
201402;C00218;>10;0;0;<24, 48];136.18;204.33;;20/02/2014;17.0;4683.74;BT;2012.0;1.0;CNE
201402;C00219;<=10;0;0;>48;242.7;0.0;145.22;11/02/2014;15.0;14710.2;BT;2011.0;1.0;COEF
201402;C00220;>10;0;0;>48;1951.03;0.0;0.0;21/02/2014;8.0;45789.5;BT;2011.0;1.0;COEF
201402;C00222;;0;0;<24, 48];434.15;24.35;232.7;18/02/2014;8.0;9815.12;BT;2011.0;1.0;COEF
201402;C00223;>10;>0;0;<24, 48];244.7;173.22;176.96;28/02/2014;9.0;6770.65;BT;2011.0;1.0;COEF
201402;C00224;>10;0;0;>48;436.78;437.38;875.81;06/02/2014;13.0;5602.74;BT;2011.0;1.0;COEF
201402;C00225;<=10;0;0;;354.08;0.0;545.96;10/02/2014;18.0;13628.6;BT;2013.0;1.0;CNE
201402;C00226;;0;0;<24, 48];365.86;0.0;0.0;13/02/2014;9.0;18745.5;BT;2012.0;1.0;CNE
201402;C00228;<=10;0;0;<24, 48];805.33;808.08;0.0;13/02/2014;13.0;21670.3;BT;2012.0;1.0;CNE
201402;C00230;;0;0;>48;261.17;59.48;188.93;04/02/2014;9.0;8151.22;BT;2013.0;1.0;CNE
201402;C00231;>10;0;0;;217.64;0.0;319.05;03/02/2014;12.0;1265.01;BT;2010.0;1.0;COEF
201402;C00232;>10;0;0;<24, 48];1921.96;0.83;0.0;03/02/2014;8.0;49776.3;BT;2012.0;1.0;COEF
201402;C00233;>10;0;0;>48;2275.98;0.0;;03/02/2014;10.0;24549.5;BT;2012.0;0.0;CNE
201402;C00235;>10;0;0;<24, 48];303.93;547.9;0.0;07/02/2014;8.0;13721.6;BT;2011.0;1.0;CNE
201402;C00238;<=10;0;0;>48;2039.22;0.0;0.0;06/02/2014;10.0;33717.1;BT;2010.0;1.0;CNE
201402;C00239;>10;0;0;<24, 48];303.2;607.81;306.94;28/02/2014;11.0;1494.54;BT;2011.0;1.0;COEF
201402;C00240;>10;0;0;>48;806.11;0.0;0.0;03/02/2014;16.0;16219.5;BT;2011.0;1.0;CNE
201402;C00241;;>0;0;<24, 48];1691.43;848.46;1693.96;21/02/2014;12.0;41868.7;BT;2012.0;1.0;CNE
201402;C00242;<=10;0;0;>48;36.62;1.52;830.37;03/02/2014;8.0;24563.8;BT;2013.0;1.0;COEF
201402;C00243;>10;0;0;<24, 48];269.77;0.0;;03/02/2014;13.0;2368.32;BT;2011.0;1.0;COEF
201402;C00244;>10;0;0;<24, 48];107.6;0.0;0.0;03/02/2014;11.0;1053.34;BT;2011.0;1.0;COEF
201402;C00245;<=10;0;0;<24, 48];206.47;207.4;208.85;20/02/2014;11.0;16959.1;BT;2013.0;1.0;CNE
201402;C00246;>10;0;0;>48;178.62;179.19;13.67;24/02/2014;10.0;4384.85;BT;2012.0;1.0;COEF
201402;C00248;>10;0;0;<24, 48];1415.2;1418.21;0.0;19/02/2014;13.0;31804.0;BT;2012.0;1.0;COEF
201402;C00249;<=10;0;0;>48;776.12;0.0;0.0;03/02/2014;12.0;30087.9;BT;2013.0;1.0;COEF
201402;C00252;<=10;0;0;<24, 48];61.64;0.0;0.0;05/02/2014;15.0;10845.2;BT;2012.0;1.0;COEF
201402;C00253;;0;0;<24, 48];481.51;479.84;965.2;07/02/2014;7.0;3756.57;BT;2011.0;1.0;COEF
201402;C00254;<=10;0;0;;1480.06;1491.15;1509.31;14/02/2014;12.0;46894.9;BT;2012.0;1.0;CNE
201402;C00255;<=10;0;0;<24, 48];402.03;804.17;404.82;26/02/2014;19.0;3298.32;BT;2011.0;0.0;COEF
201402;C00256;;0;0;<24, 48];99.42;48.54;0.0;07/02/2014;7.0;5365.6;BT;2013.0;1.0;COEF
201402;C00257;<=10;0;0;<24, 48];178.24;0.0;;03/02/2014;14.0;4847.26;BT;2013.0;1.0;CNE
201402;C00258;>10;0;0;<24, 48];419.79;418.11;415.89;17/02/2014;12.0;2823.36;BT;2011.0;1.0;CNE
201402;C00259;<=10;0;0;>48;724.5;1453.47;2191.52;03/02/2014;12.0;19786.5;BT;2012.0;1.0;CNE
201402;C00262;;0;0;;320.87;245.76;319.48;07/02/2014;9.0;10106.8;BT;2013.0;1.0;CNE
201402;C00263;;0;0;<24, 48];45.01;39.02;175.34;20/02/2014;14.0;2073.56;BT;2012.0;1.0;CNE
201402;C00265;<=10;0;0;>48;24.43;0.0;0.0;06/02/2014;15.0;34013.9;BT;2013.0;1.0;COEF
201402;C00266;;>0;0;<24, 48];1536.77;0.0;0.0;10/02/2014;7.0;7883.01;BT;2012.0;0.0;CNE
201402;C00268;>10;0;0;<24, 48];138.62;100.94;0.12;04/02/2014;7.0;1382.05;BT;2011.0;1.0;COEF
201402;C00269;>10;0;1;>48;152.46;0.0;0.0;11/02/2014;15.0;4162.02;BT;2011.0;1.0;COEF
201402;C00270;<=10;>0;0;<24, 48];608.95;915.38;915.38;04/02/2014;15.0;6006.18;BT;2013.0;0.0;CNE
201402;C00271;;0;0;<24, 48];647.37;0.0;648.13;19/02/2014;20.0;18500.5;BT;2013.0;1.0;COEF
